,title,text,label
22467,【連続テレビ小説】おかえりモネ（８０）「若き者たち」,未知（蒔田彩珠）や亮（永瀬廉）たちは気仙沼へ帰っていった。同じころ、サヤカ（夏木マリ）や龍己（藤竜也）は、自分たちより下の世代のためにも、まずは自分たちが楽しく、格好よく生きなければ、と電話で語り合っていた。そして前日、百音（清原果耶）と結局会えずじまいだった菅波（坂口健太郎）が改めて汐見湯にやってくる。百音は菅波から、地域医療に専念するためにした意外な決断を聞かされ、激しく動揺して…。,
22468,ニュース,,
22469,東京２０２０パラリンピック,［２：５９－３：０５　総合２で放送継続］,
22469,東京２０２０パラリンピック,［２：５９－３：０５　総合２で放送継続］,
24110,サブチャンネル切り替え方法のご案内,,
23539,ニュース・気象情報,,
23539,ニュース・気象情報,,
23540,東京２０２０パラリンピック,,
23540,東京２０２０パラリンピック,,
22471,ニュース,,
22472,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,［５：５９以降　総合２で放送継続］,
22472,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,［５：５９以降　総合２で放送継続］,
23502,サブチャンネル切り替え方法のご案内,,
23507,ニュース,,
23525,首都圏ネットワーク,【キャスター】原大策，中村慶子，【気象キャスター】片山美紀,
23525,首都圏ネットワーク,【キャスター】原大策，中村慶子，【気象キャスター】片山美紀,
23525,首都圏ネットワーク,【キャスター】原大策，中村慶子，【気象キャスター】片山美紀,
23526,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,［６：４４－７：３０　総合２で放送継続］,
23526,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,［６：４４－７：３０　総合２で放送継続］,
23529,サブチャンネル切り替え方法のご案内,,
22474,首都圏ネットワーク（東京・神奈川・千葉・埼玉）,【キャスター】原大策，中村慶子，【気象キャスター】片山美紀，【気象リポーター】市村紗弥香,
22474,首都圏ネットワーク（東京・神奈川・千葉・埼玉）,【キャスター】原大策，中村慶子，【気象キャスター】片山美紀，【気象リポーター】市村紗弥香,
22474,首都圏ネットワーク（東京・神奈川・千葉・埼玉）,【キャスター】原大策，中村慶子，【気象キャスター】片山美紀，【気象リポーター】市村紗弥香,
22475,ＮＨＫニュース７,,
22475,ＮＨＫニュース７,,
22475,ＮＨＫニュース７,,
22476,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,,
22476,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,,
22477,東京２０２０パラリンピック◇陸上　男子１００ｍ　Ｔ３６・予選（中継）,［８：５９－９：３０　総合２で放送継続］,
22477,東京２０２０パラリンピック◇陸上　男子１００ｍ　Ｔ３６・予選（中継）,［８：５９－９：３０　総合２で放送継続］,
23531,サブチャンネル切り替え方法のご案内,,
22478,ニュースウオッチ９,▽明日のために今日をよむ　▽田中・星両キャスターが最新ニュースのポイントをシャープにわかりやすく　▽“ニュースの　現場”にリポーターが直行　新鮮な情報を　いち早く▽注目スポーツの速報▽あすの天気とその注意点をやさしく解説,
22478,ニュースウオッチ９,▽明日のために今日をよむ　▽田中・星両キャスターが最新ニュースのポイントをシャープにわかりやすく　▽“ニュースの　現場”にリポーターが直行　新鮮な情報を　いち早く▽注目スポーツの速報▽あすの天気とその注意点をやさしく解説,
22478,ニュースウオッチ９,▽明日のために今日をよむ　▽田中・星両キャスターが最新ニュースのポイントをシャープにわかりやすく　▽“ニュースの　現場”にリポーターが直行　新鮮な情報を　いち早く▽注目スポーツの速報▽あすの天気とその注意点をやさしく解説,
23532,東京２０２０パラリンピック◇陸上　４００ｍユニバーサルリレー・決勝（中継）,,
23532,東京２０２０パラリンピック◇陸上　４００ｍユニバーサルリレー・決勝（中継）,,
22480,東京２０２０パラリンピック　デイリーハイライト,注目競技の結果をコンパクトにまとめ、選手のインタビューとともにいち早く伝える。キャスターは、阿部渉、武田真一、久保田祐佳、赤木野々花が日替わりで担当。「ＮＨＫ東京２０２０パラリンピック放送スペシャルナビゲーター」を務める嵐の相葉雅紀さん、櫻井翔さんも毎日いずれかが出演する。また風間俊介さんがパラリンピックの魅力を深く掘り下げてリポート。さらに見えない人も一緒に楽しめるよう副音声解説をつけて伝える。,
22480,東京２０２０パラリンピック　デイリーハイライト,注目競技の結果をコンパクトにまとめ、選手のインタビューとともにいち早く伝える。キャスターは、阿部渉、武田真一、久保田祐佳、赤木野々花が日替わりで担当。「ＮＨＫ東京２０２０パラリンピック放送スペシャルナビゲーター」を務める嵐の相葉雅紀さん、櫻井翔さんも毎日いずれかが出演する。また風間俊介さんがパラリンピックの魅力を深く掘り下げてリポート。さらに見えない人も一緒に楽しめるよう副音声解説をつけて伝える。,
22482,ニュース・気象情報,,
22483,時論公論　【出演】ＮＨＫ解説委員,,
22483,時論公論　【出演】ＮＨＫ解説委員,,
22483,時論公論　【出演】ＮＨＫ解説委員,,
22484,未来スイッチ「声かけで心の“距離”縮めたい」,コロナ禍で広がるソーシャルディスタンス。しかし、視覚に障害のある人たちは相手との距離がわからず困難に直面している。支援団体の調査では、外出時に人との間隔など「ソーシャルディスタンスがわからない」と訴えた視覚障害者はおよそ４割に上った。こうした中、周囲がどう支えるかを学ぶ取り組みや、声かけの大切さを伝える動きが各地に広がっている。不安を募らせる視覚障害者を支えるために私たちができることとは。,
30808,逆転人生　選「魂の解放！ＬＧＢＴパレードはこうして生まれた」,今や２０万人を超える人々が集うＬＧＢＴパレード。セクシュアルマイノリティたちが誇りを持って街を闊歩（かっぽ）するビッグイベントだ。今から２６年前、日本で初めてパレードを行った南定四郎さん（８８）。そこにはゲイであることを隠し続けた屈辱の日々エイズ感染拡大の中で吹き荒れた差別との戦いがあった。南さんが赤裸々に語るＬＧＢＴの苦難と挑戦。そしてパレード当日新宿から渋谷へと向かう道中で起きた感動の逆転とは,
30808,逆転人生　選「魂の解放！ＬＧＢＴパレードはこうして生まれた」,今や２０万人を超える人々が集うＬＧＢＴパレード。セクシュアルマイノリティたちが誇りを持って街を闊歩（かっぽ）するビッグイベントだ。今から２６年前、日本で初めてパレードを行った南定四郎さん（８８）。そこにはゲイであることを隠し続けた屈辱の日々エイズ感染拡大の中で吹き荒れた差別との戦いがあった。南さんが赤裸々に語るＬＧＢＴの苦難と挑戦。そしてパレード当日新宿から渋谷へと向かう道中で起きた感動の逆転とは,
30807,シブヤノオト　選「Ｓｎｏｗ　Ｍａｎ・ＳＥＶＥＮＴＥＥＮ・ａｄｉｅｕ」,Ｓｎｏｗ　Ｍａｎが登場！台本なしのぶっつけ質問にメンバーがガチ回答！滝沢歌舞伎ＺＥＲＯでも話題の『ひらりと桜』を披露！ＳＥＶＥＮＴＥＥＮが激ムズクイズを出題！『ひとりじゃない』をパフォーマンス！俳優としても大活躍上白石萌歌がアーティストａｄｉｅｕとして登場！秘密にしているアレを告白！？『よるのあと』を披露！注目バンドＦＩＶＥ　ＮＥＷ　ＯＬＤは『ＳｕｍｍｅｒＴｉｍｅ』を披露！,
30807,シブヤノオト　選「Ｓｎｏｗ　Ｍａｎ・ＳＥＶＥＮＴＥＥＮ・ａｄｉｅｕ」,Ｓｎｏｗ　Ｍａｎが登場！台本なしのぶっつけ質問にメンバーがガチ回答！滝沢歌舞伎ＺＥＲＯでも話題の『ひらりと桜』を披露！ＳＥＶＥＮＴＥＥＮが激ムズクイズを出題！『ひとりじゃない』をパフォーマンス！俳優としても大活躍上白石萌歌がアーティストａｄｉｅｕとして登場！秘密にしているアレを告白！？『よるのあと』を披露！注目バンドＦＩＶＥ　ＮＥＷ　ＯＬＤは『ＳｕｍｍｅｒＴｉｍｅ』を披露！,
30807,シブヤノオト　選「Ｓｎｏｗ　Ｍａｎ・ＳＥＶＥＮＴＥＥＮ・ａｄｉｅｕ」,Ｓｎｏｗ　Ｍａｎが登場！台本なしのぶっつけ質問にメンバーがガチ回答！滝沢歌舞伎ＺＥＲＯでも話題の『ひらりと桜』を披露！ＳＥＶＥＮＴＥＥＮが激ムズクイズを出題！『ひとりじゃない』をパフォーマンス！俳優としても大活躍上白石萌歌がアーティストａｄｉｅｕとして登場！秘密にしているアレを告白！？『よるのあと』を披露！注目バンドＦＩＶＥ　ＮＥＷ　ＯＬＤは『ＳｕｍｍｅｒＴｉｍｅ』を披露！,
30804,【ストーリーズ】ノーナレ　選「あるジャズマンの物語」,７年前に両耳の聴力を失ったジャズベーシスト、吉本信行（６３）。人工内耳という補助器具で「音」を取り戻した今もメロディーは認識できない。大好きなレコードも、自分が奏でる「音」さえも分からないという。それでも、体に刻まれた「音の記憶」を引き出して演奏。彼は何を聞いているのか？耳で聞くものだけが「音楽」なのか？そして「音」を「楽」しむとは何なのか？本人の証言を頼りに「音」の世界を映像化していく。,
30804,【ストーリーズ】ノーナレ　選「あるジャズマンの物語」,７年前に両耳の聴力を失ったジャズベーシスト、吉本信行（６３）。人工内耳という補助器具で「音」を取り戻した今もメロディーは認識できない。大好きなレコードも、自分が奏でる「音」さえも分からないという。それでも、体に刻まれた「音の記憶」を引き出して演奏。彼は何を聞いているのか？耳で聞くものだけが「音楽」なのか？そして「音」を「楽」しむとは何なのか？本人の証言を頼りに「音」の世界を映像化していく。,
30804,【ストーリーズ】ノーナレ　選「あるジャズマンの物語」,７年前に両耳の聴力を失ったジャズベーシスト、吉本信行（６３）。人工内耳という補助器具で「音」を取り戻した今もメロディーは認識できない。大好きなレコードも、自分が奏でる「音」さえも分からないという。それでも、体に刻まれた「音の記憶」を引き出して演奏。彼は何を聞いているのか？耳で聞くものだけが「音楽」なのか？そして「音」を「楽」しむとは何なのか？本人の証言を頼りに「音」の世界を映像化していく。,
30799,サンドのお風呂いただきます　選「神奈川県湯河原町編」,湯河原でステキなお風呂と魅力的な人々に出会いました。まずは、元住職が作ったヒノキ風呂！こだわりのお風呂作法がありました。そして、家族のきずなのために造ったスパリゾート風呂が登場！さらに、湯河原在住２３年という五月みどりさんの癒やし風呂も堪能。五月さんが伊達の背中を流す展開に一同恐縮！お風呂上がりには、家族の人生や思いなど、各家庭の感動秘話に迫ります。サンドと千鳥の楽しい掛け合いも見どころです。,
30798,明日をまもるナビ　選（１０）「台風による大規模停電　どう備える」,千葉県の自宅が４日間停電した佐藤藍子が真夏の停電の怖さを激白！▽“心配性バイアス”の照英が感動！手軽な熱中症対策グッズの数々▽停電でスマホがつながらない！大規模停電で起こる想定外の問題▽うちは太陽光発電があるから大丈夫と思っていたら…意外な落とし穴▽熱中症にならないために何を備えれば？▽南房総市の名物電力おじさんが教える小型家電の使い方▽各地で進む電気自動車の活用▽水だけで発電！進化する小型蓄電池,
30798,明日をまもるナビ　選（１０）「台風による大規模停電　どう備える」,千葉県の自宅が４日間停電した佐藤藍子が真夏の停電の怖さを激白！▽“心配性バイアス”の照英が感動！手軽な熱中症対策グッズの数々▽停電でスマホがつながらない！大規模停電で起こる想定外の問題▽うちは太陽光発電があるから大丈夫と思っていたら…意外な落とし穴▽熱中症にならないために何を備えれば？▽南房総市の名物電力おじさんが教える小型家電の使い方▽各地で進む電気自動車の活用▽水だけで発電！進化する小型蓄電池,
30798,明日をまもるナビ　選（１０）「台風による大規模停電　どう備える」,千葉県の自宅が４日間停電した佐藤藍子が真夏の停電の怖さを激白！▽“心配性バイアス”の照英が感動！手軽な熱中症対策グッズの数々▽停電でスマホがつながらない！大規模停電で起こる想定外の問題▽うちは太陽光発電があるから大丈夫と思っていたら…意外な落とし穴▽熱中症にならないために何を備えれば？▽南房総市の名物電力おじさんが教える小型家電の使い方▽各地で進む電気自動車の活用▽水だけで発電！進化する小型蓄電池,
30796,ヨーロッパ　トラムの旅「チェコ　プラハ」,欧州各地の都市を走る路面電車・トラム。どこか懐かしくレトロなたたずまいは、旅人をひきつけて止まない。街の中心部を走るので、名所巡りも車窓から楽しめる。トラムを乗りこなせれば街の観光は楽々。ヨーロッパにはトラムで巡りたくなるすてきな街があふれている。あたかもトラムに乗っているかのような感覚で、車窓を楽しむリアル・トラム体験の１時間。今回は、チェコ・プラハを旅する。,
30796,ヨーロッパ　トラムの旅「チェコ　プラハ」,欧州各地の都市を走る路面電車・トラム。どこか懐かしくレトロなたたずまいは、旅人をひきつけて止まない。街の中心部を走るので、名所巡りも車窓から楽しめる。トラムを乗りこなせれば街の観光は楽々。ヨーロッパにはトラムで巡りたくなるすてきな街があふれている。あたかもトラムに乗っているかのような感覚で、車窓を楽しむリアル・トラム体験の１時間。今回は、チェコ・プラハを旅する。,
30796,ヨーロッパ　トラムの旅「チェコ　プラハ」,欧州各地の都市を走る路面電車・トラム。どこか懐かしくレトロなたたずまいは、旅人をひきつけて止まない。街の中心部を走るので、名所巡りも車窓から楽しめる。トラムを乗りこなせれば街の観光は楽々。ヨーロッパにはトラムで巡りたくなるすてきな街があふれている。あたかもトラムに乗っているかのような感覚で、車窓を楽しむリアル・トラム体験の１時間。今回は、チェコ・プラハを旅する。,
30797,日本夜景めぐり「東京」,,
23216,みんなのうた「トタン屋根のワルツ」「タチツテト手を」,「トタン屋根のワルツ」うた：工藤順子／「タチツテト手を」うた：ヘンリー・バンド　ｗｉｔｈ　Ｍ,
23216,みんなのうた「トタン屋根のワルツ」「タチツテト手を」,「トタン屋根のワルツ」うた：工藤順子／「タチツテト手を」うた：ヘンリー・バンド　ｗｉｔｈ　Ｍ,
23216,みんなのうた「トタン屋根のワルツ」「タチツテト手を」,「トタン屋根のワルツ」うた：工藤順子／「タチツテト手を」うた：ヘンリー・バンド　ｗｉｔｈ　Ｍ,
23496,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）,
23496,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）,
22486,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）,
22486,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）,
24111,東京２０２０パラリンピック,,
24111,東京２０２０パラリンピック,,
23527,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,,
23527,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,,
23530,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,,
23530,東京２０２０パラリンピック◇競泳　男子１００ｍバタフライ　Ｓ１１・決勝ほか,,
23534,東京２０２０パラリンピック◇陸上　男子１００ｍ　Ｔ３６・予選（中継）,,
23534,東京２０２０パラリンピック◇陸上　男子１００ｍ　Ｔ３６・予選（中継）,,
22498,アラビーヤ・シャベリーヤ！　モロッコ編（１０）「どっちが古いですか？」,俳優の金子貴俊が、モロッコを旅しながらアラビア語の会話表現を学ぶシリーズ。今回の旅の舞台は、化石の産地として名高いエルフードの町。金子が三葉虫などの化石を扱う専門店を訪ね、店内を見学しながら“比べる表現”を学ぶ。また、おぼえた表現を使って、いちばん値段の高い化石を探しあてる。１２回シリーズの１０回目。,
22500,テレビでハングル講座（２１）「このおかずも召し上がってみてください。」,今回のまるっとフレーズは「このおかずも召し上がってみてください」。「～してみてください」といった「人に勧める表現」を学びます。▽「ウ変則活用」「ル変則活用」についても解説します。▽Ｋ－ＰＯＰグループＳｔｒａｙ　Ｋｉｄｓが発音する「まるっとフレーズプラス」もお楽しみに！▽韓国の様々（さまざま）なスポットで街角インタビューをする「コココリア」。今回は登山で人気のインワン（仁王）山。,
22500,テレビでハングル講座（２１）「このおかずも召し上がってみてください。」,今回のまるっとフレーズは「このおかずも召し上がってみてください」。「～してみてください」といった「人に勧める表現」を学びます。▽「ウ変則活用」「ル変則活用」についても解説します。▽Ｋ－ＰＯＰグループＳｔｒａｙ　Ｋｉｄｓが発音する「まるっとフレーズプラス」もお楽しみに！▽韓国の様々（さまざま）なスポットで街角インタビューをする「コココリア」。今回は登山で人気のインワン（仁王）山。,
22500,テレビでハングル講座（２１）「このおかずも召し上がってみてください。」,今回のまるっとフレーズは「このおかずも召し上がってみてください」。「～してみてください」といった「人に勧める表現」を学びます。▽「ウ変則活用」「ル変則活用」についても解説します。▽Ｋ－ＰＯＰグループＳｔｒａｙ　Ｋｉｄｓが発音する「まるっとフレーズプラス」もお楽しみに！▽韓国の様々（さまざま）なスポットで街角インタビューをする「コココリア」。今回は登山で人気のインワン（仁王）山。,
22501,テレビ体操,【出演】鈴木大輔，清水沙希，原川愛，舘野伶奈，吉江晴菜，矢作あかり，【ピアノ】加藤由美子,
22501,テレビ体操,【出演】鈴木大輔，清水沙希，原川愛，舘野伶奈，吉江晴菜，矢作あかり，【ピアノ】加藤由美子,
22501,テレビ体操,【出演】鈴木大輔，清水沙希，原川愛，舘野伶奈，吉江晴菜，矢作あかり，【ピアノ】加藤由美子,
22502,オトッペ「特別編▽ウッドウッドはいつから町長？」,音から生まれた不思議な生きもの・オトッペ。みなさんから届いたオトッペや、珍しい日本の音を紹介する特別編。オトッペの世界のひみつを紹介するコーナーも！番組アプリを使って番組のオトッペがキャッチできる「オトッペキャッチ」もあります。,
22503,オハ！よ～いどん「家族になおしてほしいこと」,▼今年３月放送「オハ！よ～いどん」第１弾に続き第２弾を２週連続でお送りします。コージ園長とお友達の楽しいお話を聞いて、みんな元気になっちゃおう▼ゲストは“ナゾとき”で大人気の松丸亮吾さん。４兄弟の中で育った松丸さんが家族に直してほしかったことって何！？▼松丸さんの“ナゾとき”もあるよ。テレビの前のみんなも一緒に考えよう▼番組オリジナルの楽しい体操は、よしおにいさん作詞・振り付け、横山剣さんの作曲！,
22503,オハ！よ～いどん「家族になおしてほしいこと」,▼今年３月放送「オハ！よ～いどん」第１弾に続き第２弾を２週連続でお送りします。コージ園長とお友達の楽しいお話を聞いて、みんな元気になっちゃおう▼ゲストは“ナゾとき”で大人気の松丸亮吾さん。４兄弟の中で育った松丸さんが家族に直してほしかったことって何！？▼松丸さんの“ナゾとき”もあるよ。テレビの前のみんなも一緒に考えよう▼番組オリジナルの楽しい体操は、よしおにいさん作詞・振り付け、横山剣さんの作曲！,
22504,あそビーバー▽じしゃくクレーン,専門家の監修による、手軽にできる遊びのアイデア「じしゃくクレーン」を紹介。さらにＥテレの番組から遊びのヒントになる人気コーナーをセレクト。今回は「ミミクリーズ」「にほんごであそぼ」をとりあげる。,
22505,Ｅテレ０６５５　金曜日,リクエストにおこたえフライデー「ｔｏｉ　ｔｏｉ　ｔｏｉ！」歌：デーモン閣下,
22505,Ｅテレ０６５５　金曜日,リクエストにおこたえフライデー「ｔｏｉ　ｔｏｉ　ｔｏｉ！」歌：デーモン閣下,
22505,Ｅテレ０６５５　金曜日,リクエストにおこたえフライデー「ｔｏｉ　ｔｏｉ　ｔｏｉ！」歌：デーモン閣下,
22506,ゴー！ゴー！キッチン戦隊クックルン「夏休みの思い出～フキノスケ」,ふだんは学校で寮生活を送るアユ、コムギ、フキノスケが、夏休みの思い出を語り合う。休みの間も家に帰らず学校で過ごしたフキノスケ。人気のない学校で自由を味わっていると、怪人が現れて──！？キッチンで作る料理は、２種類の味が楽しめる「わくわくお好み焼き」。レオンのエプロン姿もおなじみに♪出演：矢作穂香　声：玄田哲章　アニメ脚本：竹村武司,
22506,ゴー！ゴー！キッチン戦隊クックルン「夏休みの思い出～フキノスケ」,ふだんは学校で寮生活を送るアユ、コムギ、フキノスケが、夏休みの思い出を語り合う。休みの間も家に帰らず学校で過ごしたフキノスケ。人気のない学校で自由を味わっていると、怪人が現れて──！？キッチンで作る料理は、２種類の味が楽しめる「わくわくお好み焼き」。レオンのエプロン姿もおなじみに♪出演：矢作穂香　声：玄田哲章　アニメ脚本：竹村武司,
22506,ゴー！ゴー！キッチン戦隊クックルン「夏休みの思い出～フキノスケ」,ふだんは学校で寮生活を送るアユ、コムギ、フキノスケが、夏休みの思い出を語り合う。休みの間も家に帰らず学校で過ごしたフキノスケ。人気のない学校で自由を味わっていると、怪人が現れて──！？キッチンで作る料理は、２種類の味が楽しめる「わくわくお好み焼き」。レオンのエプロン姿もおなじみに♪出演：矢作穂香　声：玄田哲章　アニメ脚本：竹村武司,
22507,アニメ　はなかっぱ「おねがい、はなかっぱ」「不思議の森の美女」,緑いっぱいの「やまびこ村」に、頭に花が咲くかっぱの家族が住んでいる。「はなかっぱ」の頭には「とりあえずの花」が咲いている。大人になるまで花は決まらず、いろいろな花を咲かすのだ。中でも食べると若返ると言われている「わか蘭」という花を狙って、黒羽屋蝶兵衛一味があの手この手で悪だくみ。やまびこ村はてんやわんやの大騒ぎ。今日はどんな花が咲くのか。「わか蘭」は咲くのか。そして、はなかっぱの花は何になるのか。,
